name,runtime,dimension,model_size_mb,cold_load_time,warm_encode_ms,embeddings_per_second,peak_rss_mb,stability_mean,stability_std,paraphrase_mean,antonym_mean,separation_ratio,retrieval_top1,nn_consistency,quality_score,overall_score,failure_rate
all-MiniLM-L6-v2,python,384,931.7,7.57,95.4,1015,506,0.8680,0.1854,0.6508,0.7344,3.71,0.9639,1.0000,0.7336,0.8553,0.00
bge-small-en-v1.5,python,384,382.5,7.32,180.7,557,550,0.9408,0.0787,0.8425,0.8165,1.34,0.9835,1.0000,0.6467,0.8303,0.00
bge-base-en-v1.5,python,768,1252.0,6.26,886.9,511,780,0.9298,0.0897,0.8206,0.7774,1.39,0.9759,1.0000,0.6444,0.8301,0.00
multilingual-e5-base,python,768,5076.2,8.26,976.8,498,1170,0.9602,0.0344,0.9291,0.9156,1.10,0.9859,1.0000,0.6492,0.7876,0.00
multilingual-e5-small,python,384,2174.6,9.13,220.1,526,1037,0.9693,0.0271,0.9325,0.9181,1.09,0.9899,1.0000,0.6503,0.7836,0.00
mxbai-embed-large-v1,python,1024,5110.6,8.14,1277.3,25,979,0.9285,0.1024,0.8174,0.7354,1.44,0.9780,1.0000,0.6512,0.7738,0.00
snowflake-arctic-embed,python,1024,4740.3,6.53,4095.2,170,1597,0.9525,0.0590,0.8981,0.9115,1.12,0.9864,1.0000,0.6417,0.7718,0.00
Qwen3-Embedding-0.6B,python,1024,1151.6,6.35,596.4,11,1439,0.9128,0.0878,0.8007,0.7645,1.48,0.9817,1.0000,0.6469,0.7678,0.00
nomic-embed-text-v1.5,python,768,2112.6,11.31,87.6,429,899,0.9269,0.1103,0.7376,0.7823,1.68,0.9784,1.0000,0.6373,0.7552,0.00
bge-m3,python,1024,4374.8,8.10,3446.3,157,2136,0.9213,0.0816,0.8251,0.7707,1.51,0.9711,1.0000,0.6526,0.7492,0.00
multilingual-e5-large,python,1024,9114.9,8.13,7758.4,172,2091,0.9545,0.0376,0.9259,0.9081,1.11,0.9874,1.0000,0.6496,0.7432,0.00
all-MiniLM-L6-v2,mlx-swift,384,0.0,0.03,7.6,134,447,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.1000,0.2017,0.00
bge-small-en-v1.5,coreml,384,0.0,0.08,55.2,16,282,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.1000,0.1996,0.00
bge-small-en-v1.5,mlx-swift,384,0.0,0.03,13.3,73,440,0.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.1000,0.1987,0.00
